runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
ndcg_cut_05            	654605541	0.6388	0.2751	0.6388	0.6388	0.0000	0.6388
set_P                 	654605541	0.2000	0.2000	0.2000	0.2000	0.0000	0.2000
set_recall            	654605541	0.3333	0.3333	0.3333	0.3333	0.0000	0.3333
set_F                 	654605541	0.2500	0.2500	0.2500	0.2500	0.0000	0.2500
num_ret               	702159889	5	5	5	5	5	5
num_rel               	702159889	2	2	2	2	2	2
num_rel_ret           	702159889	2	1	2	2	0	1
map                   	702159889	0.8333	0.1000	1.0000	1.0000	0.0000	0.2500
ndcg_cut_01            	702159889	0.5000	0.0000	0.5000	0.5000	0.0000	0.0000
ndcg_cut_02            	702159889	0.3801	0.0000	0.8597	0.8597	0.0000	0.4796
ndcg_cut_03            	702159889	0.7602	0.0000	0.8597	0.8597	0.0000	0.4796
ndcg_cut_04            	702159889	0.7602	0.0000	0.8597	0.8597	0.0000	0.4796
ndcg_cut_05            	702159889	0.7602	0.1470	0.8597	0.8597	0.0000	0.4796
set_P                 	702159889	0.4000	0.2000	0.4000	0.4000	0.0000	0.2000
set_recall            	702159889	1.0000	0.5000	1.0000	1.0000	0.0000	0.5000
set_F                 	702159889	0.5714	0.2857	0.5714	0.5714	0.0000	0.2857
num_ret               	704436051	3	5	3	3	5	3
num_rel               	704436051	1	1	1	1	1	1
num_rel_ret           	704436051	1	0	1	1	0	1
map                   	704436051	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
ndcg_cut_01            	704436051	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
ndcg_cut_02            	704436051	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
ndcg_cut_03            	704436051	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
ndcg_cut_04            	704436051	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
ndcg_cut_05            	704436051	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
set_P                 	704436051	0.3333	0.0000	0.3333	0.3333	0.0000	0.3333
set_recall            	704436051	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	704436051	0.5000	0.0000	0.5000	0.5000	0.0000	0.5000
num_ret               	748406375	5	5	5	5	5	5
num_rel               	748406375	4	4	4	4	4	4
num_rel_ret           	748406375	3	3	4	4	3	3
map                   	748406375	0.7500	0.6500	0.9500	0.9500	0.6875	0.7500
ndcg_cut_01            	748406375	1.0000	1.0000	1.0000	0.5000	1.0000	0.5000
ndcg_cut_02            	748406375	1.0000	1.0000	1.0000	0.6199	1.0000	0.6199
ndcg_cut_03            	748406375	1.0000	0.8403	1.0000	0.8403	0.8403	0.8403
ndcg_cut_04            	748406375	0.8791	0.7387	0.8791	0.7387	0.8596	0.7387
ndcg_cut_05            	748406375	0.8791	0.8473	0.9877	0.8473	0.8596	0.7387
set_P                 	748406375	0.6000	0.6000	0.8000	0.8000	0.6000	0.6000
set_recall            	748406375	0.7500	0.7500	1.0000	1.0000	0.7500	0.7500
set_F                 	748406375	0.6667	0.6667	0.8889	0.8889	0.6667	0.6667
num_ret               	753388668	5	5	5	5	5	5
num_rel               	753388668	4	4	4	4	4	4
num_rel_ret           	753388668	1	1	1	1	1	2
map                   	753388668	0.2500	0.2500	0.2500	0.2500	0.1250	0.1625
ndcg_cut_01            	753388668	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
ndcg_cut_02            	753388668	0.7602	0.7602	0.7602	0.7602	0.4796	0.0000
ndcg_cut_03            	753388668	0.6388	0.6388	0.6388	0.6388	0.4030	0.0000
ndcg_cut_04            	753388668	0.5615	0.5615	0.5615	0.5615	0.3543	0.2418
ndcg_cut_05            	753388668	0.5615	0.5615	0.5615	0.5615	0.3543	0.3505
set_P                 	753388668	0.2000	0.2000	0.2000	0.2000	0.2000	0.4000
set_recall            	753388668	0.2500	0.2500	0.2500	0.2500	0.2500	0.5000
set_F                 	753388668	0.2222	0.2222	0.2222	0.2222	0.2222	0.4444
num_ret               	766188396	5	5	5	5	5	5
num_rel               	766188396	3	3	3	3	3	3
num_rel_ret           	766188396	2	2	2	2	2	2
map                   	766188396	0.5000	0.5556	0.5556	0.3333	0.3889	0.6667
ndcg_cut_01            	766188396	1.0000	1.0000	1.0000	0.0000	0.0000	1.0000
ndcg_cut_02            	766188396	0.6131	0.6131	0.6131	0.3869	0.3869	1.0000
ndcg_cut_03            	766188396	0.5317	0.7975	0.7975	0.3354	0.6013	0.8671
ndcg_cut_04            	766188396	0.7606	0.7975	0.7975	0.5644	0.6013	0.8671
ndcg_cut_05            	766188396	0.7606	0.7975	0.7975	0.5644	0.6013	0.8671
set_P                 	766188396	0.4000	0.4000	0.4000	0.4000	0.4000	0.4000
set_recall            	766188396	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667
set_F                 	766188396	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000
num_ret               	855073163	5	5	5	5	5	5
num_rel               	855073163	10	10	10	10	10	10
num_rel_ret           	855073163	3	2	4	3	4	5
map                   	855073163	0.3000	0.0650	0.3800	0.3000	0.3800	0.5000
ndcg_cut_01            	855073163	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	855073163	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_03            	855073163	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_04            	855073163	0.8791	0.2418	0.8791	0.8791	0.8791	1.0000
ndcg_cut_05            	855073163	0.7929	0.3161	0.8909	0.7929	0.8909	1.0000
set_P                 	855073163	0.6000	0.4000	0.8000	0.6000	0.8000	1.0000
set_recall            	855073163	0.3000	0.2000	0.4000	0.3000	0.4000	0.5000
set_F                 	855073163	0.4000	0.2667	0.5333	0.4000	0.5333	0.6667
num_ret               	991851157	5	5	5	5	5	5
num_rel               	991851157	6	6	6	6	6	6
num_rel_ret           	991851157	4	4	4	3	3	3
map                   	991851157	0.6667	0.6333	0.6667	0.5000	0.5000	0.5000
ndcg_cut_01            	991851157	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	991851157	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_03            	991851157	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_04            	991851157	1.0000	0.8319	1.0000	0.8319	0.8319	0.8319
ndcg_cut_05            	991851157	0.8688	0.8539	0.8688	0.7227	0.7227	0.7227
set_P                 	991851157	0.8000	0.8000	0.8000	0.6000	0.6000	0.6000
set_recall            	991851157	0.6667	0.6667	0.6667	0.5000	0.5000	0.5000
set_F                 	991851157	0.7273	0.7273	0.7273	0.5455	0.5455	0.5455
